Event ID,eventTime,ar,tValue,Firm,Reference Market,Estimation Window Length,Group
27,-2,0.0031,0.1058,AXON,NDXT,120,CurrentReport
28,-2,-0.0235,-0.8514,AXON,NDXT,120,CurrentReport
29,-2,0.0191,0.6895,AXON,NDXT,120,CurrentReport
30,-2,-0.0097,-0.3975,AXON,NDXT,120,CurrentReport
31,-2,0.0358,1.415,AXON,NDXT,120,CurrentReport
32,-2,0.0062,0.2857,AXON,NDXT,120,CurrentReport
33,-2,0.0075,0.344,AXON,NDXT,120,CurrentReport
34,-2,0.0333,1.8,AXON,NDXT,120,CurrentReport
35,-2,-0.0497,-2.672,AXON,NDXT,120,CurrentReport
36,-2,-0.0064,-0.3657,AXON,NDXT,120,CurrentReport
38,-2,0.0523,1.5519,AXON,NDXT,120,CurrentReport
39,-2,0.0805,3.9078,AXON,NDXT,120,CurrentReport
40,-2,-0.0138,-0.902,AXON,NDXT,120,CurrentReport
41,-2,-0.0111,-0.5388,AXON,NDXT,120,CurrentReport
42,-2,0.0012,0.06,AXON,NDXT,120,CurrentReport
43,-2,-0.002,-0.0966,AXON,NDXT,120,CurrentReport
44,-2,0.0038,0.1467,AXON,NDXT,120,CurrentReport
45,-2,-0.0584,-1.7076,AXON,NDXT,120,CurrentReport
46,-2,0.0293,0.8277,AXON,NDXT,120,CurrentReport
47,-2,-0.0047,-0.1599,AXON,NDXT,120,CurrentReport
48,-2,-0.0022,-0.078,AXON,NDXT,120,CurrentReport
49,-2,-0.0077,-0.2906,AXON,NDXT,120,CurrentReport
50,-2,0.0093,0.2473,AXON,NDXT,120,CurrentReport
51,-2,-0.0376,-0.749,AXON,NDXT,120,CurrentReport
52,-2,0.041,0.7839,AXON,NDXT,120,CurrentReport
53,-2,0.0422,0.834,AXON,NDXT,120,CurrentReport
54,-2,-0.0739,-1.5824,AXON,NDXT,120,CurrentReport
55,-2,-0.0178,-0.6014,AXON,NDXT,120,CurrentReport
56,-2,-0.0536,-1.4218,AXON,NDXT,120,CurrentReport
57,-2,0.0231,0.626,AXON,NDXT,120,CurrentReport
58,-2,-2e-4,-0.0057,AXON,NDXT,120,CurrentReport
59,-2,-0.0023,-0.0673,AXON,NDXT,120,CurrentReport
60,-2,-0.0023,-0.0673,AXON,NDXT,120,CurrentReport
61,-2,-0.0123,-0.3705,AXON,NDXT,120,CurrentReport
62,-2,0.0718,2.5552,AXON,NDXT,120,CurrentReport
63,-2,0.026,1.3542,AXON,NDXT,120,CurrentReport
64,-2,0.0394,2.0309,AXON,NDXT,120,CurrentReport
65,-2,-0.0241,-1.3169,AXON,NDXT,120,CurrentReport
66,-2,0.0042,0.1963,AXON,NDXT,120,CurrentReport
67,-2,-0.0103,-0.4598,AXON,NDXT,120,CurrentReport
68,-2,0.0016,0.0597,AXON,NDXT,120,CurrentReport
69,-2,0.0089,0.2997,AXON,NDXT,120,CurrentReport
70,-2,0.0129,0.4433,AXON,NDXT,120,CurrentReport
71,-2,1e-4,0.0035,AXON,NDXT,120,CurrentReport
72,-2,0.0045,0.1536,AXON,NDXT,120,CurrentReport
73,-2,0.0026,0.114,AXON,NDXT,120,CurrentReport
74,-2,0.0202,0.8245,AXON,NDXT,120,CurrentReport
75,-2,0.0195,0.7927,AXON,NDXT,120,CurrentReport
76,-2,0.0335,1.4823,AXON,NDXT,120,CurrentReport
77,-2,-0.007,-0.3382,AXON,NDXT,120,CurrentReport
