"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Market Return";"First-order Autocorellation"
;"Overarching comments";;;"Analysis performed successfully";;;;;;;;;;;
1;AXON;GSPC;2002-06-10;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2001-11-27;2002-05-20;-0.0246;0.0031;0.0018;0.6174;0.0445;0.0037;0.0753
2;AXON;GSPC;2003-10-20;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-04-10;2003-09-30;0.0374;0.0051;0.0131;1.0026;0.0509;0.0183;0.1444
3;AXON;GSPC;2003-07-21;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-01-08;2003-06-30;-0.0231;-0.0147;0.009;0.4155;0.0369;0.0029;0.2234
4;AXON;GSPC;2003-06-30;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2002-12-17;2003-06-10;0.0108;-0.0018;0.0091;0.3099;0.0361;0.0086;0.1816
5;AXON;GSPC;2003-04-22;"Analysis performed successfully";120;-14;2002-10-09;2003-04-01;0.1044;0.0215;0.0014;-0.2234;0.0414;-0.0034;-0.1379
6;AXON;GSPC;2004-11-08;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2004-04-29;2004-10-19;0.152;-0.0011;0.0015;0.9705;0.0578;0.0004;-0.0323
7;AXON;GSPC;2004-10-19;"Analysis performed successfully";120;-14;2004-04-08;2004-09-29;0.0557;-0.0097;-0.0021;2.0929;0.0672;-0.0224;-0.0569
8;AXON;GSPC;2004-07-20;"Analysis performed successfully";120;-14;2004-01-07;2004-06-29;-0.1571;0.007;0.0082;2.0718;0.0684;0.0228;-0.0215
9;AXON;GSPC;2004-06-24;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-12-11;2004-06-03;0.0799;-0.003;0.0041;2.4039;0.063;-0.0031;-0.0473
10;AXON;GSPC;2004-04-20;"Analysis performed successfully";120;-14;2003-10-08;2004-03-30;-0.3412;-0.0157;0.0154;1.1342;0.0531;-0.0024;0.0031
11;AXON;GSPC;2004-04-16;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-10-06;2004-03-26;0.1319;0.0051;0.0146;1.006;0.0532;0.0197;-0.025
12;AXON;GSPC;2004-02-06;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-07-29;2004-01-16;0.0054;0.0125;0.0144;1.0934;0.0548;0.028;0.0633
13;AXON;GSPC;2004-02-02;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-07-23;2004-01-12;0.0111;0.0036;0.0157;0.7205;0.0547;0.0184;0.1047
14;AXON;GSPC;2004-01-23;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2003-07-15;2004-01-02;0.0081;-0.0021;0.015;1.0925;0.0547;0.0127;0.0778
15;AXON;GSPC;2005-11-25;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2005-05-18;2005-11-04;-0.1297;0.0021;-0.0026;1.4318;0.036;0.0004;0.0571
16;AXON;GSPC;2005-11-15;"Analysis performed successfully";120;-14;2005-05-09;2005-10-26;-0.0209;-0.0039;-0.0032;1.185;0.0381;-0.0078;-0.0682
17;AXON;GSPC;2005-10-26;"Analysis performed successfully";120;-14;2005-04-19;2005-10-06;-0.0652;-0.0043;-0.0035;1.8445;0.0378;-0.0115;-0.0681
18;AXON;GSPC;2005-09-15;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2005-03-08;2005-08-25;-0.0166;0.0005;-0.0038;1.7883;0.0415;-0.003;-0.1375
19;AXON;GSPC;2005-07-20;"Analysis performed successfully";120;-14;2005-01-07;2005-06-29;-0.0366;0.0047;-0.0084;2.1681;0.0642;0.0019;0.0047
20;AXON;GSPC;2005-05-24;"Analysis performed successfully";120;-14;2004-11-11;2005-05-04;0.0591;0.0002;-0.0097;2.4311;0.0642;-0.0092;0.0234
21;AXON;GSPC;2005-04-20;"Analysis performed successfully";120;-14;2004-10-08;2005-03-31;-0.0335;-0.0133;-0.0044;1.449;0.0643;-0.0237;0.01
22;AXON;GSPC;2005-04-19;"Analysis performed successfully";120;-14;2004-10-07;2005-03-30;-0.0088;0.0059;-0.004;1.4145;0.0643;0.0044;0.0117
23;AXON;GSPC;2005-04-01;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2004-09-21;2005-03-11;-0.1412;-0.0065;-0.0035;1.4339;0.0621;-0.0129;0.0509
24;AXON;GSPC;2005-03-21;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2004-09-09;2005-03-01;-0.0121;-0.0049;-0.0033;1.2416;0.0662;-0.0095;0.0287
25;AXON;GSPC;2005-02-08;"Analysis performed successfully";120;-14;2004-07-30;2005-01-19;-0.12;0.0005;-0.0002;1.6819;0.0653;0.0007;0.0303
26;AXON;GSPC;2005-01-10;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2004-07-01;2004-12-20;-0.125;0.0034;0.0018;1.2404;0.0528;0.006;-0.1189
27;AXON;GSPC;2006-12-20;"Analysis performed successfully";120;-14;2006-06-13;2006-11-30;0.0118;-0.0014;-0.0028;2.6676;0.028;-0.0066;-0.1608
28;AXON;GSPC;2006-11-06;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2006-04-28;2006-10-17;0.0333;0.0113;-0.0016;2.4777;0.0285;0.0264;-0.1603
29;AXON;GSPC;2006-10-25;"Analysis performed successfully";120;-14;2006-04-18;2006-10-05;0.0268;0.0035;-0.0024;2.3443;0.0288;0.0058;-0.2214
30;AXON;GSPC;2006-08-30;"Analysis performed successfully";120;-14;2006-02-21;2006-08-10;-0.0077;0.0008;-0.003;2.3251;0.028;-0.001;-0.2076
31;AXON;GSPC;2006-07-26;"Analysis performed successfully";120;-14;2006-01-13;2006-07-06;-0.1522;-0.0004;-0.0002;2.1247;0.0275;-0.001;-0.073
32;AXON;GSPC;2006-07-05;"Analysis performed successfully";120;-14;2005-12-21;2006-06-14;-0.0268;-0.0073;0.0027;2.4858;0.0311;-0.0154;0.0426
33;AXON;GSPC;2006-06-29;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2005-12-16;2006-06-09;0.0191;0.0213;0.0027;2.1472;0.029;0.0486;0.0923
34;AXON;GSPC;2006-05-19;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2005-11-07;2006-05-01;0.0109;0.0041;0.001;2.1922;0.0339;0.01;0.0574
35;AXON;GSPC;2006-05-16;"Analysis performed successfully";120;-14;2005-11-02;2006-04-26;-0.0137;-0.0019;0.003;2.3206;0.0356;-0.0013;0.1261
36;AXON;GSPC;2006-04-26;"Analysis performed successfully";120;-14;2005-10-13;2006-04-05;0.0543;0.0028;0.0033;2.4981;0.039;0.0104;0.0953
37;AXON;GSPC;2006-02-22;"Analysis performed successfully";120;-14;2005-08-11;2006-02-01;-0.0194;0.0075;0.0001;2.1447;0.0431;0.0161;0.093
38;AXON;GSPC;2007-10-24;"Analysis performed successfully";120;-14;2007-04-17;2007-10-04;-0.0035;-0.0024;0.0062;0.9493;0.0353;0.0039;-0.0028
39;AXON;GSPC;2007-07-23;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2007-01-10;2007-07-02;-0.0344;0.0049;0.004;0.7217;0.0234;0.0075;0.0656
40;AXON;GSPC;2007-05-24;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2006-11-09;2007-05-04;0.0541;-0.0097;-0.0004;1.0609;0.0184;-0.0108;0.0341
41;AXON;GSPC;2007-04-25;"Analysis performed successfully";120;-14;2006-10-11;2007-04-04;-0.0442;0.0101;-0.0019;1.46;0.0168;0.0129;-0.0845
42;AXON;GSPC;2007-04-05;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2006-09-22;2007-03-16;-0.0125;0.003;0;1.4339;0.0211;0.0043;-0.0162
43;AXON;GSPC;2007-03-13;"Analysis performed successfully";120;-14;2006-08-29;2007-02-21;-0.0064;-0.0206;-0.0007;1.593;0.0205;-0.0335;0.0389
44;AXON;GSPC;2007-02-21;"Analysis performed successfully";120;-14;2006-08-09;2007-01-31;0.0261;-0.0014;-0.0011;1.8509;0.0213;-0.0037;0.0288
45;AXON;GSPC;2008-10-28;"Analysis performed successfully";120;-14;2008-04-21;2008-10-08;-0.0118;0.1025;-0.0013;0.9395;0.0362;0.0949;0.0289
46;AXON;GSPC;2008-07-24;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2008-01-14;2008-07-03;-0.1191;-0.0234;-0.0056;1.5274;0.0349;-0.0414;0.0157
47;AXON;GSPC;2008-04-24;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2007-10-12;2008-04-04;-0.2239;0.0064;-0.0026;1.8108;0.0279;0.0091;0.0029
48;AXON;GSPC;2008-02-14;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2007-08-06;2008-01-25;-0.0731;-0.0135;-0.0016;1.5367;0.0301;-0.0224;0.0481
49;AXON;GSPC;2009-10-22;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2009-04-15;2009-10-02;-0.0132;0.0106;-0.0032;1.5154;0.0219;0.0129;-0.0007
50;AXON;GSPC;2009-07-29;"Analysis performed successfully";120;-14;2009-01-16;2009-07-09;-0.0575;-0.0046;-0.002;1.6441;0.0333;-0.0096;-0.0281
51;AXON;GSPC;2009-05-21;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2008-11-07;2009-05-01;-0.0216;-0.0169;0.0005;1.6702;0.0442;-0.0277;-0.1018
