"Event ID";AR(0);AR(1);AR(2);t-value(0);t-value(1);t-value(2)
1;-0.0283;-0.0861;0.0051;-0.636;-1.9348;0.1146
2;0.0191;0.1105;0.0653;0.3752;2.1709;1.2829
3;-0.026;0.1261;0.0075;-0.7046;3.4173;0.2033
4;0.0023;-0.071;0.0179;0.0637;-1.9668;0.4958
5;0.1079;-0.0212;0.0185;2.6063;-0.5121;0.4469
6;0.1515;-0.0602;0.0721;2.6211;-1.0415;1.2474
7;0.0781;0.0035;-0.006;1.1622;0.0521;-0.0893
8;-0.1799;0.0302;-0.0827;-2.6301;0.4415;-1.2091
9;0.083;0.1816;0.0182;1.3175;2.8825;0.2889
10;-0.3388;-0.029;-0.1133;-6.3804;-0.5461;-2.1337
11;0.1122;0.0238;-0.34;2.109;0.4474;-6.391
12;-0.0226;0.0075;0.0222;-0.4124;0.1369;0.4051
13;-0.0073;-0.0758;-0.0522;-0.1335;-1.3857;-0.9543
14;-0.0046;0.0906;-0.0113;-0.0841;1.6563;-0.2066
15;-0.13;-0.0196;-0.0118;-3.6111;-0.5444;-0.3278
16;-0.0131;0.0343;-0.0079;-0.3438;0.9003;-0.2073
17;-0.0537;-0.0435;-0.0219;-1.4206;-1.1508;-0.5794
18;-0.0136;-0.0239;-0.0059;-0.3277;-0.5759;-0.1422
19;-0.0384;0.0259;-0.0147;-0.5981;0.4034;-0.229
20;0.0683;-0.0076;-0.0049;1.0639;-0.1184;-0.0763
21;-0.0098;0.1971;-0.0644;-0.1524;3.0653;-1.0016
22;-0.0132;-0.0106;0.1974;-0.2053;-0.1649;3.07
23;-0.1283;-0.0326;-0.0444;-2.066;-0.525;-0.715
24;-0.0026;0.0209;-0.0261;-0.0393;0.3157;-0.3943
25;-0.1206;-0.0019;-0.0443;-1.8469;-0.0291;-0.6784
26;-0.131;-0.3462;0.1809;-2.4811;-6.5568;3.4261
27;0.0184;0.0009;0.0078;0.6571;0.0321;0.2786
28;0.0069;-0.0083;0.003;0.2421;-0.2912;0.1053
29;0.021;0.0076;0.0234;0.7292;0.2639;0.8125
30;-0.0066;0.0019;0.0017;-0.2357;0.0679;0.0607
31;-0.1512;0.0007;-0.0394;-5.4982;0.0255;-1.4327
32;-0.0114;0.0118;0.0081;-0.3666;0.3794;0.2605
33;-0.0294;0.0005;0.0322;-1.0138;0.0172;1.1103
34;0.0009;-0.0011;0.0334;0.0265;-0.0324;0.9853
35;-0.0124;0.0469;-0.0292;-0.3483;1.3174;-0.8202
36;0.0439;-0.0544;0.0119;1.1256;-1.3949;0.3051
37;-0.0356;-0.0008;-0.0137;-0.826;-0.0186;-0.3179
38;-0.0074;-0.0289;-0.027;-0.2096;-0.8187;-0.7649
39;-0.0419;-0.0746;-0.0374;-1.7906;-3.188;-1.5983
40;0.0648;0.0163;0.0142;3.5217;0.8859;0.7717
41;-0.057;-0.0192;0.034;-3.3929;-1.1429;2.0238
42;-0.0168;-0.0172;0.0039;-0.7962;-0.8152;0.1848
43;0.0271;0.0015;-0.0052;1.322;0.0732;-0.2537
44;0.0298;-0.0102;0.023;1.3991;-0.4789;1.0798
45;-0.1067;0.0936;0.0159;-2.9475;2.5856;0.4392
46;-0.0777;-0.0047;0.0303;-2.2264;-0.1347;0.8682
47;-0.233;-0.0374;0.0301;-8.3513;-1.3405;1.0789
48;-0.0508;0.0071;0.0072;-1.6877;0.2359;0.2392
49;-0.0261;-0.0076;0.0279;-1.1918;-0.347;1.274
50;-0.0479;0.0071;-0.0218;-1.4384;0.2132;-0.6547
51;0.0061;-0.0151;0.016;0.138;-0.3416;0.362
52;-0.0567;-0.0022;-0.0398;-1.2013;-0.0466;-0.8432
53;-0.0186;0.0194;-0.0002;-0.3883;0.405;-0.0042
54;0.0824;-0.0574;0.0065;1.8943;-1.3195;0.1494
55;-0.0654;-0.044;0.0073;-2.2245;-1.4966;0.2483
56;-0.0232;-0.0224;-0.0418;-0.7838;-0.7568;-1.4122
57;0.0236;-0.02;-0.0064;0.6396;-0.542;-0.1734
58;-0.0583;0.0138;-0.0051;-1.6194;0.3833;-0.1417
59;-0.1462;-0.021;0.0715;-4.2749;-0.614;2.0906
60;-0.1462;-0.021;0.0715;-4.2749;-0.614;2.0906
61;-0.0134;-0.0286;0.0007;-0.3988;-0.8512;0.0208
62;0.0802;0.0663;-0.0748;2.7279;2.2551;-2.5442
63;0.0174;0.0799;0.0659;0.5959;2.7363;2.2568
64;0.004;0.0286;0.0145;0.2548;1.8217;0.9236
65;0.0561;0.0297;0.0231;2.9219;1.5469;1.2031
66;0.0135;-0.0047;0.0088;0.6429;-0.2238;0.419
67;0.0122;0.0017;0.0419;0.5351;0.0746;1.8377
68;0.0234;-0.0093;-0.0208;0.8041;-0.3196;-0.7148
69;-0.0392;0.1188;-0.022;-1.3564;4.1107;-0.7612
70;-0.0458;0.0003;-0.0119;-1.6127;0.0106;-0.419
71;0.0196;0.0103;0.0096;0.7025;0.3692;0.3441
72;-0.0368;-0.0472;0.0027;-1.3143;-1.6857;0.0964
73;0.2315;-0.0355;0.0187;10.1535;-1.557;0.8202
74;0.0689;-0.0032;0.0137;2.7671;-0.1285;0.5502
75;-0.0098;-0.01;0.0083;-0.3904;-0.3984;0.3307
76;0.0358;0.0271;0.0389;1.4672;1.1107;1.5943
77;-0.0722;-0.0123;-0.0316;-3.7801;-0.644;-1.6545
78;-0.0174;-0.0404;-0.021;-0.8969;-2.0825;-1.0825
79;-0.0153;-0.0272;-0.037;-0.5083;-0.9037;-1.2292
80;0.1366;-0.0124;-0.0602;5.1742;-0.4697;-2.2803
81;0.0126;-0.0093;-0.008;0.5502;-0.4061;-0.3493
82;-0.0036;-0.0145;-0.0087;-0.1281;-0.516;-0.3096
83;-0.0055;-0.0117;0.008;-0.1943;-0.4134;0.2827
84;0.0044;-0.0055;-0.0118;0.1549;-0.1937;-0.4155
85;0.0485;-0.0058;0.0133;1.5696;-0.1877;0.4304
86;0.0605;0.0091;-0.0375;1.6176;0.2433;-1.0027
87;-0.0246;0.0143;0.0189;-0.6595;0.3834;0.5067
88;0.0029;-0.0024;0.0604;0.0887;-0.0734;1.8471
89;-0.2161;0.0205;-0.0245;-6.6288;0.6288;-0.7515
90;-0.0512;-0.0043;-0.0044;-1.5238;-0.128;-0.131
91;0.061;0.0396;0.02;1.7479;1.1347;0.5731
92;-0.0046;-0.0462;-0.0269;-0.1479;-1.4855;-0.865
93;0.0212;-0.0099;-0.0046;0.6928;-0.3235;-0.1503
94;0.1544;-0.0629;-0.0362;5.8485;-2.3826;-1.3712
95;0.0577;-0.0161;0.0256;1.9428;-0.5421;0.862
96;0.0577;-0.0161;0.0256;1.9428;-0.5421;0.862
97;0.0143;0.0085;-0.0357;0.5125;0.3047;-1.2796
98;0.0407;-0.0316;-0.0393;1.3129;-1.0194;-1.2677
99;0.0029;0.006;0.041;0.0935;0.1935;1.3226
100;-0.0612;-0.057;-0.0738;-1.9806;-1.8447;-2.3883
101;-0.0424;0.0304;-0.0248;-1.2657;0.9075;-0.7403
102;0.0258;0.0095;-0.0232;0.7656;0.2819;-0.6884
103;-0.0133;0.0684;-0.0722;-0.3855;1.9826;-2.0928
104;-0.135;-0.0099;-0.0178;-4.8561;-0.3561;-0.6403
105;-0.1222;-0.0318;-0.079;-4.0197;-1.0461;-2.5987
106;-0.0459;0.0051;-0.0124;-1.5351;0.1706;-0.4147
107;0.0054;-0.0139;-0.0102;0.1672;-0.4303;-0.3158
108;0.0379;-0.0037;-0.0636;1.2186;-0.119;-2.045
109;0.0817;0.0526;0.033;2.6102;1.6805;1.0543
110;-0.1796;0.0323;-0.0499;-5.7016;1.0254;-1.5841
111;0.0355;0.1209;0.0136;1.5502;5.2795;0.5939
112;-0.0003;-0.0171;0.0271;-0.0173;-0.9884;1.5665
113;0.0042;-0.003;-0.0204;0.1953;-0.1395;-0.9488
114;-0.0083;0.0194;-0.004;-0.318;0.7433;-0.1533
115;0.0009;0.0378;-0.0119;0.031;1.3034;-0.4103
116;0.1165;-0.026;0.0011;3.8963;-0.8696;0.0368
117;-0.0372;-0.0002;0.0396;-1.1698;-0.0063;1.2453
118;-0.0133;0.0037;-0.002;-0.7688;0.2139;-0.1156
119;-0.0013;0.0163;0.0284;-0.076;0.9532;1.6608
120;-0.0155;-0.0651;0.0085;-0.9936;-4.1731;0.5449
121;-0.0024;0.0106;0.0143;-0.1529;0.6752;0.9108
122;-0.0145;-0.0719;-0.0137;-0.9177;-4.5506;-0.8671
123;-0.013;-0.094;-0.0086;-0.8176;-5.9119;-0.5409
124;-0.0013;-0.0074;-0.0076;-0.0807;-0.4596;-0.472
125;-0.0027;-0.011;-0.0226;-0.1459;-0.5946;-1.2216
126;0.0069;0.0415;-0.0075;0.3108;1.8694;-0.3378
127;0;0.0534;0.0112;0;2.0304;0.4259
128;0.0106;-0.0034;0.0012;0.397;-0.1273;0.0449
129;-0.0667;-0.0503;-0.0062;-2.5265;-1.9053;-0.2348
130;-0.0118;-0.0667;-0.0503;-0.447;-2.5265;-1.9053
131;0.0084;0.0143;-0.01;0.3206;0.5458;-0.3817
132;0.0399;-0.012;-0.0088;1.2871;-0.3871;-0.2839
133;0.031;-0.0567;0.0398;1.0032;-1.835;1.288
134;0.0137;0.0175;0.0331;0.4405;0.5627;1.0643
135;-0.0239;-0.2248;0.0033;-0.7914;-7.4437;0.1093
136;-0.0097;-0.0314;0.007;-0.3191;-1.0329;0.2303
137;-0.0306;-0.0434;-0.0136;-1.0338;-1.4662;-0.4595
138;0.0008;-0.0118;0.0108;0.0218;-0.3215;0.2943
139;0.0012;-0.1311;-0.0145;0.033;-3.6016;-0.3984
140;-0.0249;-0.0002;-0.0876;-0.7176;-0.0058;-2.5245
141;0.0324;0.01;0.0146;1.1096;0.3425;0.5
142;0.0107;0.0212;0.0306;0.3652;0.7235;1.0444
143;-0.0114;0.1922;0.0057;-0.3904;6.5822;0.1952
144;-0.0246;-0.0175;0.0118;-0.8396;-0.5973;0.4027
145;-0.0259;0.2514;0.0862;-1.6289;15.8113;5.4214
146;-0.0259;0.2514;0.0862;-1.6289;15.8113;5.4214
147;0.0019;0.2186;-0.0084;0.0776;8.9224;-0.3429
148;-0.0306;-0.0115;-0.022;-1.249;-0.4694;-0.898
149;-0.004;-0.025;-0.0067;-0.16;-1;-0.268
150;-0.0275;0.0041;-0.0244;-1.2168;0.1814;-1.0796
151;0.0162;-0.1555;0.0058;0.7168;-6.8805;0.2566
152;-0.0072;-0.0404;-0.048;-0.3333;-1.8704;-2.2222
153;-0.0267;-0.007;-0.0103;-1.192;-0.3125;-0.4598
154;-0.0001;-0.0497;0.0444;-0.0035;-1.7378;1.5524
155;0.0386;-0.0802;-0.026;1.3688;-2.844;-0.922
156;0.0069;0.0031;-0.0031;0.227;0.102;-0.102
157;0.0397;0.017;0.0147;1.3146;0.5629;0.4868
158;0.0084;0.1213;-0.0013;0.2314;3.3416;-0.0358
159;-0.0044;-0.0143;0.0015;-0.1048;-0.3405;0.0357
160;-0.0191;-0.0908;-0.0133;-0.4704;-2.2365;-0.3276
161;-0.0338;-0.0128;0.0183;-0.9741;-0.3689;0.5274
162;0.0293;0.0546;-0.0904;0.8493;1.5826;-2.6203
163;-0.0882;0.025;-0.0375;-2.5865;0.7331;-1.0997
164;0.0452;0.1819;-0.0175;1.3101;5.2725;-0.5072
165;0.0218;0.0139;-0.0033;0.7758;0.4947;-0.1174
166;0.0218;-0.0276;0.0258;0.7267;-0.92;0.86
167;-0.0235;-0.0768;0.0199;-0.768;-2.5098;0.6503
