"Event ID";Window;"CAR Value";"BHAR Value";"CAR t-test"
27;"(-2, 2)";0.0039;0.0035;0.0595
28;"(-2, 2)";-0.0104;-0.0115;-0.1685
29;"(-2, 2)";0.0606;0.0612;0.9784
30;"(-2, 2)";-0.0053;-0.0053;-0.0971
31;"(-2, 2)";-0.1219;-0.1404;-2.1548
32;"(-2, 2)";0.097;0.0951;1.9991
33;"(-2, 2)";0.0096;0.0095;0.1969
34;"(-2, 2)";0.0567;0.0542;1.3706
35;"(-2, 2)";-0.0204;-0.0216;-0.4905
36;"(-2, 2)";0.0534;0.051;1.3646
38;"(-2, 2)";0.0444;0.0439;0.5892
39;"(-2, 2)";-0.0774;-0.0833;-1.6803
40;"(-2, 2)";0.1309;0.135;3.8262
41;"(-2, 2)";-0.0247;-0.0272;-0.5362
42;"(-2, 2)";-0.0477;-0.0478;-1.0666
43;"(-2, 2)";0.0177;0.0179;0.3824
44;"(-2, 2)";0.0513;0.0517;0.8858
45;"(-2, 2)";-0.0669;-0.0744;-0.9781
46;"(-2, 2)";-0.039;-0.0414;-0.4927
47;"(-2, 2)";-0.2811;-0.2698;-4.2759
48;"(-2, 2)";0.0573;0.0509;0.9087
49;"(-2, 2)";-0.0021;-0.0023;-0.0354
50;"(-2, 2)";-0.0195;-0.0206;-0.2319
51;"(-2, 2)";-0.0564;-0.0582;-0.5024
52;"(-2, 2)";-0.0428;-0.0475;-0.366
53;"(-2, 2)";-0.0294;-0.035;-0.2598
54;"(-2, 2)";-0.0787;-0.0877;-0.7537
55;"(-2, 2)";-0.1283;-0.1233;-1.9384
56;"(-2, 2)";-0.1123;-0.1091;-1.3322
57;"(-2, 2)";0.0365;0.034;0.4424
58;"(-2, 2)";-0.0653;-0.0706;-0.832
59;"(-2, 2)";-0.0844;-0.0916;-1.1036
60;"(-2, 2)";-0.0844;-0.0916;-1.1036
61;"(-2, 2)";-0.0738;-0.0752;-0.9941
62;"(-2, 2)";0.1707;0.1694;2.7167
63;"(-2, 2)";0.2793;0.3131;6.5056
64;"(-2, 2)";0.0986;0.0989;2.273
65;"(-2, 2)";0.0425;0.0435;1.0386
66;"(-2, 2)";0.0626;0.0592;1.3082
67;"(-2, 2)";0.0592;0.0576;1.1819
68;"(-2, 2)";0.0149;0.0143;0.2486
69;"(-2, 2)";0.0836;0.0833;1.2588
70;"(-2, 2)";-0.0187;-0.0178;-0.2874
71;"(-2, 2)";0.0861;0.0855;1.3463
72;"(-2, 2)";-0.0666;-0.0631;-1.0165
73;"(-2, 2)";0.187;0.1809;3.6679
74;"(-2, 2)";0.1318;0.1395;2.4058
75;"(-2, 2)";0.0029;0.0025;0.0527
76;"(-2, 2)";0.1317;0.1393;2.6061
77;"(-2, 2)";-0.1091;-0.1066;-2.3571
78;"(-2, 2)";-0.1018;-0.099;-2.2763
79;"(-2, 2)";-0.0736;-0.0734;-1.266
80;"(-2, 2)";0.0891;0.0835;1.7175
81;"(-2, 2)";0.0137;0.0133;0.2904
82;"(-2, 2)";-0.0438;-0.0442;-0.6922
83;"(-2, 2)";-0.0219;-0.0227;-0.3232
84;"(-2, 2)";-0.0341;-0.0353;-0.5033
85;"(-2, 2)";0.0791;0.0775;0.9408
86;"(-2, 2)";0.0485;0.049;0.5738
87;"(-2, 2)";0.0073;0.0049;0.0841
88;"(-2, 2)";0.0464;0.0458;0.6385
89;"(-2, 2)";-0.2395;-0.2365;-3.2359
90;"(-2, 2)";0.0196;0.0151;0.2748
91;"(-2, 2)";0.1261;0.1405;1.7037
92;"(-2, 2)";-0.0422;-0.0426;-0.6463
93;"(-2, 2)";0.016;0.0153;0.2763
94;"(-2, 2)";0.0466;0.0291;0.7524
95;"(-2, 2)";0.044;0.0434;0.7129
96;"(-2, 2)";0.044;0.0434;0.7129
97;"(-2, 2)";-0.0599;-0.0606;-0.8783
98;"(-2, 2)";-0.0342;-0.0375;-0.495
99;"(-2, 2)";-0.0333;-0.0383;-0.4527
100;"(-2, 2)";-0.2429;-0.2257;-3.2719
101;"(-2, 2)";-0.078;-0.0776;-1.023
102;"(-2, 2)";0.0195;0.0141;0.255
103;"(-2, 2)";-0.0022;-0.0075;-0.0288
104;"(-2, 2)";-0.1619;-0.1602;-2.4967
105;"(-2, 2)";-0.2093;-0.203;-3.1305
106;"(-2, 2)";-0.034;-0.0356;-0.4921
107;"(-2, 2)";-0.0436;-0.0432;-0.625
108;"(-2, 2)";0.0592;0.0572;0.8513
109;"(-2, 2)";0.1575;0.1659;2.2576
110;"(-2, 2)";-0.2634;-0.2604;-3.4954
111;"(-2, 2)";0.1776;0.1909;4.5386
112;"(-2, 2)";0.0213;0.0204;0.5571
113;"(-2, 2)";-0.0359;-0.0361;-0.7265
114;"(-2, 2)";0.0064;0.0064;0.1008
115;"(-2, 2)";0.0197;0.018;0.2879
116;"(-2, 2)";0.1057;0.1084;1.4545
117;"(-2, 2)";0.0965;0.0976;1.37
118;"(-2, 2)";-0.0299;-0.0294;-0.7866
119;"(-2, 2)";0.032;0.0316;0.9057
120;"(-2, 2)";-0.0891;-0.0875;-2.4446
121;"(-2, 2)";-0.0073;-0.0079;-0.2028
122;"(-2, 2)";-0.0757;-0.0757;-2.1027
123;"(-2, 2)";-0.0915;-0.0906;-2.5736
124;"(-2, 2)";0.0084;0.0083;0.2363
125;"(-2, 2)";-0.0346;-0.0345;-0.6908
