date,headline,url
2009-12-21,"TASER Foundation for Fallen Officers Raises More Than $550,000 From the 2009 ""Hold'em for Heroes"" Celebrity Weekend",https://investor.axon.com/press-releases/press-release-details/2009/TASER-Foundation-for-Fallen-Officers-Raises-More-Than-550000-From-the-2009-Holdem-for-Heroes-Celebrity-Weekend/default.aspx
2009-12-14,TASER International Receives Order for 400 TASER X26 ECDs for Cleveland Division of Police,https://investor.axon.com/press-releases/press-release-details/2009/TASER-International-Receives-Order-for-400-TASER-X26-ECDs-for-Cleveland-Division-of-Police/default.aspx
2009-12-07,TASER International Receives Order for 140 TASER X26 ECDs From Colombian National Police,https://investor.axon.com/press-releases/press-release-details/2009/TASER-International-Receives-Order-for-140-TASER-X26-ECDs-From-Colombian-National-Police/default.aspx
2009-11-24,TASER International's AXON and EVIDENCE.COM Assists in Officer Involved Shooting Investigation and Exoneration,https://investor.axon.com/press-releases/press-release-details/2009/TASER-Internationals-AXON-and-EVIDENCECOM-Assists-in-Officer-Involved-Shooting-Investigation-and-Exoneration/default.aspx
2009-11-23,TASER International's 100th Lawsuit Dismissal Won on Summary Judgment,https://investor.axon.com/press-releases/press-release-details/2009/TASER-Internationals-100th-Lawsuit-Dismissal-Won-on-Summary-Judgment/default.aspx
2009-11-23,TASER International Announces New Jersey Approval of Law Enforcement Use of Electronic Control Devices,https://investor.axon.com/press-releases/press-release-details/2009/TASER-International-Announces-New-Jersey-Approval-of-Law-Enforcement-Use-of-Electronic-Control-Devices/default.aspx
2009-11-10,2500 TASER X26 ECDs Ordered by the United States Army Garrison Rock Island Arsenal,https://investor.axon.com/press-releases/press-release-details/2009/2500-TASER-X26-ECDs-Ordered-by-the-United-States-Army-Garrison-Rock-Island-Arsenal/default.aspx
2009-11-06,TASER Wireless eXtended Range Electronic Projectile (XREP) Successfully Deployed to Save Woman's Life,https://investor.axon.com/press-releases/press-release-details/2009/TASER-Wireless-eXtended-Range-Electronic-Projectile-XREP-Successfully-Deployed-to-Save-Womans-Life/default.aspx
2009-11-05,"TASER International Receives Order for 1,021 TASER X26 ECDs From DeKalb County Police Department",https://investor.axon.com/press-releases/press-release-details/2009/TASER-International-Receives-Order-for-1021-TASER-X26-ECDs-From-DeKalb-County-Police-Department/default.aspx
2009-11-04,"TASER Foundation and Fort McDowell Casino Team Up to Host 2009 ""Hold'em for Heroes"" Celebrity Weekend Benefiting the Families of Fallen Law Enforcement Officers",https://investor.axon.com/press-releases/press-release-details/2009/TASER-Foundation-and-Fort-McDowell-Casino-Team-Up-to-Host-2009-Holdem-for-Heroes-Celebrity-Weekend-Benefiting-the-Families-of-Fallen-Law-Enforcement-Officers/default.aspx
